ID,Mistake Type,2021-01-19,2021-01-26,2021-02-02,2021-02-09,2021-02-16,2021-02-23,2021-03-02,2021-03-09,2021-03-16
1, Wrong class,,,,,,,,,
1.1, Missing class,x,,,,,,,,
1.2, Extra (redundant) class,x,,,,,,,,
1.3, Wrong class name,x,,,,,,,,
1.3.1, Using plural or lowercase,x,,,,,,,,
1.3.2, Software engineering term,x,,,,,,,,
1.4, Wrong enumeration,,,,,,,,,
1.4.1, Regular class should be an enumeration or vice versa,,,,,,,,,
1.4.2, Wrong enumeration items,,,,,,,,,
2, Wrong attribute,,,,,,,,,
2.1, Missing attribute,,,,,,,,,
2.2, Extra (redundant) attribute,,,x,,,,,,
2.2.1, Plural attribute or attribute list,,,,,,,,,
2.3, Wrong attribute name,,,,,,,,,
2.4, Wrong attribute type,,,,,,,,,
2.5, Attribute in wrong class,,,x,,,,,,
2.5.1, Attribute misplaced,,,x,,,,,,
2.5.2," Attribute duplicated (eg, in a subclass)",,,x,,,,,,
2.6, Attribute expected to be static but is not or vice versa,,,,,,,,,
3, Wrong relationships,,,,,,,,,
3.1, Missing relationship of any type,,,,,,,,,
3.1.1, Using an attribute instead of an association,x,,,,,,,,
3.2, Incomplete containment tree,,x,,,,,,,
3.3, Extra (redundant) association,,,,,,,,,
3.3.1, Representing an action with an association,,,,,,,,,
3.3.2, Composed part contained in more than one parent,,,,,,,,,
3.4, Using wrong relationship type,,,,,,,,,
3.4.1, Using an association instead of an aggregation/composition or vice versa,,x,,,,,,,
3.4.2, Using a directed association instead of an undirected one or vice versa,,,,,,,,,
3.4.3, Using aggregation instead of composition or vice versa,,,,,,,,,
3.5, Wrong association name,,,,,,,,,
3.5.1, Missing association name when one was expected,,,,,,,,,
3.6, Wrong multiplicities,,,x,,,,,,
3.6.1, Infinite recursive dependency,,,x,,,,,,
3.7, Wrong role names,,,,,,,,,
3.7.1, Missing role names,,x,,,,,,,
3.7.2, Role names present but incorrect,,,,,,,,,
3.7.3, Role expected to be static but is not or vice versa,,,,,,,,,
3.8, Wrong association class,,x,,,,,,,
3.9, Wrong generalization,,,,,,,,,
3.9.1, Missing generalization,,,x,,,,,,
3.9.2," Generalization inapplicable (eg, not following isA rule)",,x,,,,,,,
3.9.3, Subclass not distinct across lifetime (a full-time student can become part-time),,,,,,,,,
3.9.4, Inherited feature does not make sense for subclass,,,,,,,,,
3.9.5, Subclass is an instance of superclass,,,x,,,,,,
3.9.6, Non-differentiated subclass,,x,,,,,,,
3.9.7, Wrong generalization direction (Person isA Student),,,x,,,,,,
3.9.8, Wrong superclass (Dog isA Animal when expected to be a Mammal),,,,,,,,,
4, Modeling antipatterns or misuse of design patterns,,,,,,,,,
4.1, Misuse of Player-Role Pattern,,x,,,,,,,
4.2, Misuse of Abstraction-Occurrence,,,,,,,,,
